answer,processed_answer,question
 There are also a lot of different frogs.,,What`different type of frogs are there in the world?
" Most commonly, they are a favorite of privateers and military.","Most commonly, they are a favorite of privateers and military.",What are some different types of dolphins?
 I use to go down to Seattle every now and then for work.,I use to go down to Seattle every now and then for work.,Okay but where do you buy apples?
 Sunday is for the school holidays.,Sunday is for the school holidays.,"Hey there, do you happen to know what day it is today?"
 rat <,rat <,What is the name of your rat?
" I would like to go to the Caribbean, I also grew up in Thailand.","I would like to go to the Caribbean , I also grew up in Thailand.",What is one place you would like to travel?
"? Good o' clockwise, thanks,","Good o' clockwise, thanks,",Bye now
<|startoftext|>What are some different types of dog breeds? Schutz pups are all German shepherds and are quite lively her- she's got a very lively personality and is very happy- Humbly pups are all Yorkshire terrier and are,Schutz pups are all German shepherds and are quite lively she's got a very lively personality and is very happy- Humbly pups are all Yorkshire terrier and are,What are some different types of dog breeds?
<|startoftext|> What kind of fun are you planning? I'll start at a bar crawlup type thing.,I'll start at a bar crawlup type thing.,<div> Hey i'm just trying this out </div>
,,</body>
"<|startoftext|><input type=""button"">Submit</|startoftext|> <|submit type=""text"" class=""btn btn-primary"">Hello, what is your country of birth? I'm in my20s.<|",I'm in my20s.<|,"<input type=""button"">"
 I like to ski and I like running as well.,I like to ski and I like running as well.,Where do you like to run?
 what do you like to do for fun? I like to play a variety of club sports at the college.,I like to play a variety of club sports at the college.,okay
" I haven't read in a while, but I did like to read a little fiction when I was in high school.","I haven't read in a while, but I did like to read a little fiction when I was in high school.",Do you like to read?
"<|startoftext|>How long have you been doing yoga? hmm..roughly 8 hours a day since I took up quad</|endoftext|>

<|startoftext|>Have you been on any type of exercise with your","hmm..roughly 8 hours a day since I took up quad</|endoftext|>

 Have you been on any type of exercise with your",How long have you been doing yoga?
" I'm doing fine, despite the weather being less than perfect today.","I'm doing fine, despite the weather being less than perfect today.","Hello sam, how are you today?"
 It depends on the season.,It depends on the season.,What is the weather like?
" Yeah, today was cold, but we're going to get much colder.","Yeah, today was cold, but we're going to get much colder.",Then how is the weather less than perfect today?
" I enjoy Skyrim, Diablo, and League of Legends.","I enjoy Skyrim, Diablo, and League of Legends.",What type of video games do you like to play?
 Clean fiction is set in contemporary day society and non-conformist/objective writing.,Clean fiction is set in contemporary day society and non-conformist/objective writing.,What is clean fiction?
 Yes..like Le Bourget...Forest was the last movie I ever wanted to go to.,Yes..like Le Bourget... Forest was the last movie I ever wanted to go to.,Do you like to go to the cinema?
"<|startoftext|>What video games do you like to play? I recently got into Divinity: Original Sin, and it was really fun.|endoftext|
<|startoftext|>Do you play online or on the weekend? I play online",I play online,What video games do you like to play?
" I'm Amy, from the East Bay.","I'm Amy, from the East Bay.",Who are you?
"<|startoftext|>What do you like to do? When I'm not doing schoolwork, I like to hike and I like to ski, but if I have to, I enjoy my downtime on my computer, which I used to do mostly I guess","When I'm not doing schoolwork, I like to hike and I like to ski, but if I have to, I enjoy my downtime on my computer, which I used to do mostly I guess",What do you like to do?
 I love sultry blue.,I love sultry blue.,What is your favorite colour?
 I like to watch movies and I like to play soccer.,I like to watch movies and I like to play soccer.,What do you like to do?
 Currently I'm taking a course on MTurk.,Currently I'm taking a course on MTurk.,What are you doing?
Turk is a FREE online course,Turk is a FREE online course,What is MTurk?
 It is a poetic ending to a long-running story.,It is a poetic ending to a long-running story.,What is the meaning of jack?
" Hmm, I freeze pasta.","Hmm, I freeze pasta.",What type of food do you liek to eat during the winter?
" I like the water, the weather, and the sounds of the area.","I like the water, the weather, and the sounds of the area.",What do you like do to on the beach during the summer?
" I've been to India, Brazil, Germany, UK, France, Italy, Netherlands, Italy, UK.","I've been to India, Brazil, Germany, UK, France, Italy, Netherlands, Italy, UK.",What places have you been to in the world?
 This is a good question.,This is a good question.,What places in the world do you want to visit?
 I'm in the running here and there but I don't have a lot of time with my hand-eye coordination...which I enjoy doing.,I'm in the running here and there but I don't have a lot of time with my hand-eye coordination...which I enjoy doing.,What sports can you play?
 Up in Boston.,Up in Boston.,Where are you right now?
 I go to John Jay College for Business (JDCP).,I go to John Jay College for Business (JDCP).,What do you like to do in boston?
 I like to play basketball or tennis during the summer and I enjoy doing community service events during the spring.,I like to play basketball or tennis during the summer and I enjoy doing community service events during the spring.,What do you like to do during spring?
 I love Spain and I love Italy.,I love Spain and I love Italy.,Which continent is your favorite?
"<|startoftext|>Do you love europe then? I do, but I feel as though I've betrayed myself in the past by not liking it.  I really enjoy reading, playing video games, and traveling. I'm a pretty big guy,","I do, but I feel as though I've betrayed myself in the past by not liking it. I really enjoy reading, playing video games, and traveling.",Do you love europe then?
" I'm currently in pre-med school, working toward my doctorate in biochemistry.","I'm currently in pre-med school, working toward my doctorate in biochemistry.",What are you doing right now?
" I've played tennis since I was a kid, but I never played a racket.","I've played tennis since I was a kid, but I never played a racket.",How long have you played golf?
" Honestly, I like to watch a basketball game or two but I don't actually watch those sort of things (laughs).","Honestly, I like to watch a basketball game or two but I don't actually watch those sort of things (laughs).",What do you like to do?
