sentiment,subject,topic
[0.5419765],almond,food
[0.5419765],almond,fruit
[0.17602128],anchovy,food
[0.33347629],anise,food
[0.95649566],appetizer,food
[0.27683444],apple,food
[0.27683444],apple,fruit
[0.0298031],apricot,food
[0.0298031],apricot,fruit
[0.00379818],artichoke,food
[0.92798171],asparagus,food
[0.8196137],aspic,food
[0.21029425],avocado,food
[0.21029425],avocado,fruit
[0.65332387],bacon,food
[0.83441497],bagel,food
[0.72420573],banana,food
[0.72420573],banana,fruit
[0.25207974],barbecue,food
[0.06447748],barley,food
[0.6408334],basil,food
[0.8503684],batter,food
[0.07307758],beef,food
[0.74249363],beet,food
[0.58410718],berry,food
[0.58410718],berry,fruit
[0.89474802],biscuit,food
[0.25703051],bitter,food
[0.14350397],blackberry,food
[0.14350397],blackberry,fruit
[0.24295677],blueberry,food
[0.24295677],blueberry,fruit
[0.25923895],bowl,food
[0.87170981],boysenberry,food
[0.3425631],bran,food
[0.03227126],bread,food
[0.11722321],breadfruit,food
[0.11722321],breadfruit,fruit
[0.74896135],breakfast,food
[0.06731586],brisket,food
[0.56131074],broccoli,food
[0.5066047],brownie,food
[0.99409088],brunch,food
[0.46456973],buckwheat,food
[0.21659183],burrito,food
[0.94380751],butter,food
[0.44350406],cake,food
[0.44350406],cake,dessert
[0.14247487],candy,food
[0.51025208],caramel,food
[0.90229719],carrot,food
[0.5996435],cashew,food
[0.8542689],casserole,food
[0.24752721],cauliflower,food
[0.89207214],caviar,food
[0.8547129],celery,food
[0.35932682],cereal,food
[0.17556429],chard,food
[0.99046541],cheddar,food
[0.35700982],cheese,food
[0.11516835],cheesecake,food
[0.7248119],chef,food
[0.33523578],cherry,food
[0.33523578],cherry,fruit
[0.23595212],chew,food
[0.05684687],chicken,food
[0.18269058],chili,food
[0.16899057],chips,food
[0.61098328],chives,food
[0.43533275],chocolate,food
[0.45227614],chow,food
[0.62457534],chutney,food
[0.69666299],cinnamon,food
[0.50184635],citron,food
[0.72018794],citrus,food
[0.72018794],citrus,fruit
[0.83494728],clam,food
[0.27186573],cobbler,food
[0.6349025],coconut,food
[0.6349025],coconut,fruit
[0.08885092],cod,food
[0.91405243],coffee,food
[0.66708142],coleslaw,food
[0.40298128],cook,food
[0.06645286],cookie,food
[0.90503851],corn,food
[0.95478737],cornmeal,food
[0.07483784],crab,food
[0.44492169],cranberry,food
[0.44492169],cranberry,fruit
[0.94542936],cream,food
[0.34133753],cucumber,food
[0.34133753],cucumber,fruit
[0.13289465],cuisine,food
[0.78672181],cupcake,food
[0.6546455],curry,food
[0.54349488],custard,food
[0.95210082],dairy,food
[0.68408785],dessert,food
[0.62619166],diet,food
[0.18864862],dill,food
[0.87325145],dinner,food
[0.24359764],dip,food
[0.31195998],dish,food
[0.89863008],dough,food
[0.984343],doughnut,food
[0.1549801],dressing,food
[0.47675391],drink,food
[0.9403403],durian,food
[0.9403403],durian,fruit
[0.52445012],egg,food
[0.76993751],eggplant,food
[0.76993751],eggplant,fruit
[0.46190194],elderberry,food
[0.46190194],elderberry,fruit
[0.42943802],entree,food
[0.34111827],fat,food
[0.94594726],feed,food
[0.87426912],fennel,food
[0.05847426],fig,food
[0.05847426],fig,fruit
[0.83961664],fillet,food
[0.30807056],fish,food
[0.38369499],flan,food
[0.22855706],flour,food
[0.54493746],fritter,food
[0.93274635],frosting,food
[0.78380166],fruit,food
[0.52207247],garlic,food
[0.45170375],gastronomy,food
[0.20262046],gelatin,food
[0.87515446],ginger,food
[0.0829644],gingerbread,food
[0.3885679],grain,food
[0.90230911],granola,food
[0.367548],grape,food
[0.367548],grape,fruit
[0.89359882],grapefruit,food
[0.13590975],gravy,food
[0.42437077],greens,food
[0.75793423],guacamole,food
[0.82823515],guava,food
[0.82823515],guava,fruit
[0.57271513],gyro,food
[0.70778374],halibut,food
[0.8480919],ham,food
[0.36269773],hamburger,food
[0.7531718],hash,food
[0.37213717],hazelnut,food
[0.37213717],hazelnut,fruit
[0.07311132],honey,food
[0.16807526],honeydew,food
[0.37953806],horseradish,food
[0.31167602],hummus,food
[0.43987059],ice,food
[0.43987059],ice,dessert
[0.96355032],jackfruit,food
[0.96355032],jackfruit,fruit
[0.36703947],jam,food
[0.73416444],jelly,food
[0.1682594],jimmies,food
