answers,question
"[""Do you play any instruments?no, i don't play anything with my guitar."", 'Where are you from? Seoul, South Korea.', 'Are you from the Boston area? I am from the Northeast.', ""Where do usually go running/hiking in Boston? I'm a big fan of running along the Charles--can't beat that view of Boston."", 'Where are you from? Seoul, South Korea.', ""<|startoftext|>I love reading you, and i really enjoy playing video games, What's your favorite TV show? I can't pick a favorite, there's so many great shows that are written and acted on so"", 'What are your hobbies? My hobbies include biking and reading.', ""Are you from there originally? I'm actually from SoCal, I just ended up getting stuck here."", 'how do you like ur new job? I like it, but I feel as though I could never get a decent one.', 'How are you doing today? Doing well? I feel good.', ""How's the weather over there? It's quite chilly over there so I'll be having family tomorrow."", ""So do you like swimming? Well, I'm a big fan of running. I'm not a big fan of swimming."", 'What are you studying? Evolutionary biology.', ""Is it usually that bad in winter? no, this is the worst one i've ever seen."", 'Do you travel a lot or just take weekends? I have taken my weekend off from me to travel a lot lately, I will be travelling to travel with my family.', ""What do you think of the new Jets cap? I don't really like the current one."", ""How are you doing today? I'm well."", 'How are you? Worn out? Least of my friends except me.', 'What are you studying? Evolutionary biology.', 'Do you hope to do some gigging soon? i hope to do some gigging soon.']",
"[' I usually go to Foxwoods and then back to the city.', ' I like to go to Foxwoods and Mturk which are other places where I like to go running/hiking.', '<|startoftext|>what do you like to do for fun during the weekend? I like to play tennis during the day but I also like to go running around Cambridge - what about you? I like to go running around Cambridge - what about you? I like to go running around', ' I usually go to the beach.', ' I like to play tennis and go rock climbing.', "" I like to go out to bars on the weekends, but if I'm stressed out then I'll usually head out to eat."", ' I usually go to movies and do specialty events like that.', ' I like to go to the movies', "" I like to go out to bars on the weekends, but if I'm too tired I usually stay in and watch movies."", '<|startoftext|>what do you like to do for fun during the weekend? I like to swim, play video games, play Magic: The Gathering, watch Netflix, go to bars, have parties, cook, workout, eat lots of food,<|endoftext|', ' I usually stay in on the action through my tv and listen to music.', ' I like to watch a movie (on Saturday, I watch both) or go to a concert (on Sunday, I go eat).', ' I like to play basketball during the day and brunch at night.', ' I like to bowl, watch movies and go out with my friends.', ' I like to watch a football game or two during the day and watch movies during the evening.', "" I like to go out to bars on the weekends, but if I'm tired I go to eat or just chill out."", ' I usually go to Foxwoods before work, although I have been to a few others, so I might add Daytona Beach.', ' I like to bowl, watch movies and go out with my friends.', ' I like to go to the movies.', ' I like to watch movies and do odd jobs.']",what do you like to do for fun during the weekend?
"[' I like to play basketball or tennis and watch a live stream of the game from my living room.', ' I like to bowl, watch movies, go out with my friends, have parties, cook.', ' I like to play tennis or just go out playing tennis.', ' I like to bowl, go to bars, go out on the weekends, do alot of stuff at the library, and I like to go out to bars.', ' I like getting together with friends.', ' I like to play tennis and go rock climbing.', ' I like to play pool with friends or just play tennis.', ' I like to play tennis and go rock climbing.', ' I like to play tennis and go rock climbing.', ' I like to play basketball or just walk around Boston.', ' I like to play basketball or something and watch movies.', ' I like to play tennis and go rock climbing.', ""<|startoftext|>What do you like to do for fun around here? I like to play video games in my spare time, which I used to be seriously suicidal I admit, I don't have a life changing event where I haven't happened yet.<|endoftext"", ' I like to play basketball or just relax by walking mturker.', '<|startoftext|>What do you like to do for fun around here? I like to bowl, go to festivals, and do my bit to help out my parents nether? I also like to ride my bike, go to hortons, bike alone in my hometown', ' I like to swim, play video games, play Magic: The Gathering, go to bars, go to live music events, eat lots of food,', ' I like to bowl, do alot of out door activities, and am very involved with my friends sports scene.', ' I like to bowl, watch movies and go out with my friends.', ' I like to play basketball or just walk around Boston', ' I like to go out in nature photographing whales.']",What do you like to do for fun around here?
"[' I like to party in my free time and have lots of fun/sports/movies to watch', ' I enjoy going out to eat or taking walks along the river.', ' I like to party (and bike) with friends.', ' I like getting together with friends.', ' I love to hike with my family, go hiking with my cousin, go biking by the river, and just generally be nice.', ' I love to watch movies and reading online.', ' I like to bit-fight, gore-watch, yoga, fast foods,', ' I love to hike with my family, go hiking with my fiance, or just hike with me sometimes.', ' I like to trawl the internet for good old fashioned sports info about the NFL and find games that I think are interesting to watch.', ' I love to hike with my family, go on hikes with my fiance, or ride my bicycle around the area with me,', ' I like to swim, bike, play video games, go to bars, go to live music events, eat lots of food,', ' I enjoy going out to eat or just walking around.', ' I enjoy swimming, hiking, and the beach.', ' I love to hike with my family and go to many festivals.', ' I love to hike with my family, go hiking with my cousin, go on hikes with my dad, and so much more.', ' I like getting together with friends.', ' I love to hike with my family, go hiking alone, and do other type of trail work.', ' I enjoy walking along the river, The beach, in bloom, and in the winter, spending time with my family.', '<|startoftext|>what do you enjoy doing for fun? I like bungee jumping, going for runs, party taking up to bathrooms, I also like going out to the movies, Cooking for FUN, golfing, hiking, watching movies<|endof', ' I love to hike with my family, go hiking with my dog, go on foot hikes with my cousin, ride a bike around the city, I love it.']",what do you enjoy doing for fun?
"[' I like to play a variety of club sports at home.', ' I like to play sports.', ' I like to play sports.', ' I like to play tennis and go rock climbing.', ' I like to play tennis or just walk around Boston.', ' I like to play sports.', ' I like to play tennis and go rock climbing.', ' I like to play tennis or just walk around Boston.', ' I like to play tennis and go rock climbing.', ' I like to play tennis and go rock climbing.', ' I like to play tennis and go rock climbing.', ' I like to play tennis or just go rock climbing.', ' I like to play tennis and do cross country skiing.', ' I like to play tennis and go rock climbing.', ' I like to play tennis or play tennis with my friends.', ' I like to play tennis and go rock climbing.', ' I like to play a variety of club sports at the college.', ' I like to play tennis and go rock climbing.', ' I like to play tennis or just rock and roll.', ' I like to play tennis and go rock climbing.']",What do you like to do for fun?
"[' I like to play a variety of club sports at the college.', ' I like to play sports during the day and I watch movies during the night. I also like to play basketball when I have time during the day.', ' I like to play tennis and go rock climbing.', ' I like to play a variety of club sports at the college.', ""<|startoftext|>What do you do for fun? I like to play an old game I've been playing called ping pong called Rumble where you have to move and shoot each other with your racketeering skills until you spot a hole.<|endof"", ' I like to play a variety of club sports at the college.', ' I like to play a variety of club sports at the college.', '<|startoftext|>What do you do for fun? I like to play an instrumental game called flute, where you pick your favorite string and play it over and over until you get to the last string. Most of the time, I pick the', ' I like to play a variety of club sports at the college.', ' I like to play a variety of club sports at the college.', ' I like to play an orchestra during the day and watch movies during the night.', ' I like to play a variety of club sports at the college.', ' I like to play sport in downtown london.', ' I like to play a variety of club sports at the college.', ' I like to play p2p gaming when I have downtime and have enough to eat.', ' I like to play a variety of club sports at the college.', ' I like to play a variety of club sports at the college.', ' I like to play sport at my local high school.', ' I like to play a variety of club sports at the college.', ' I like to play a variety of club sports at the college.']",What do you do for fun?
"[' I love to hike with my family.', ' I love to hike with my family.', ' I love to hike with my family.', ' I like to play tennis and do movies.', ' I love to hike with my family and go hiking with my friend.', ' I love to hike with my family.', ' I love to hike with my family.', ' I love to hike with my family, so hiking are your top hobbies? Trees, for sure.', ' I love to hike with my family.', ' I love to hike with my family and do community service events.', ' I love to hike with my family.', ' I like to play sports.', ' I like to play basketball when I have time, read books or just relax when not needed.', ' I love to hike with my family.', ' I love to hike with my family.', ' I like to play tennis and go rock climbing.', ' I love to hike with my family.', ' I like to play tennis and go rock climbing.', ' I like to play soccer and listen to music.', ' I love to hike with my family.']",What do you do for fun in your sparetime?
"[' I like to play a variety of club sports at the college.', ""<|startoftext|>What do you do for fun around here? I like to play sports at a friend's (even though I'm a junior), play tennis, listen to music, and go to bars. I love meeting new people, hearing about new people,"", ' I like to play basketball or just relax by the water.', ' I like to play a variety of club sports at the college.', ' I like to play basketball and go rock climbing.', ' I like to play a variety of club sports at the college.', ' I like to play tennis and do some other kind of club sports too.', ' I like to play a variety of club sports at the college.', ' I like to play a variety of club sports at the college.', ' I like to play a variety of club sports at the college.', ' I like to play a variety of club sports at the college.', ' I like to play a variety of club sports at the college.', ' I like to play a variety of club sports at the college.', ' I like to play a variety of club sports at the college.', ' I like to play basketball or tennis and go out to bars or anywhere interesting to drink.', ' I like to play a variety of club sports at the college.', ' I like to play basketball and go rock climbing.', ' I like to play basketball when I have time during the day, eat good food, drink generally, and just chill out.', ' I like to play a variety of club sports at the college.', ' I like to play tennis and go rock climbing.']",What do you do for fun around here?
"[""<|startoftext|>What do you do in your spare time? I spend most of my time turking and i recently started traveling so I might ask... are you in any clubs or just hanging out with some friends' rules say: unfortunately, no.<|end"", "" I'm a college administrator."", ' I am a freelance consultant in the nonprofit sector.', "" I'm a freelance consultant in Chicago."", ' I am unemployed but this is ok because I recieved a small inheratence that I am living on for now.', "" I'm working full-time and having a hard time finding a job so I eat, sleep and do a little bit of everything."", ""<|startoftext|>What do you do in your spare time? Nothing really, I've been gaming since I was 7 and I love collecting cards, but since I don't have any hobbies, I mostly spend my time playing video games on my cell phone, which"", "" I'm a homemaker and I help run my own business."", ' I am a college administrator.', ' I am a college administrator.', "" I'm a consultant in a large consulting company."", ' I usually just work and not much other than play video games, but I watch a lot of movies.', ' I am unemployed and have a real hard time finding a job so I spend time with family and friends.', "" Well... I like to gamble, so that I can't- "", ' I am a freelance consultant in New England.', "" I'm a consultant in a large medical organization."", ' I basically spend time with my family and friends, my hobbies include biking and reading.', ' nothing really.', ' I am unemployed and have a lot of stuff up my esky, but nothing major other than family... ', "" I am unemployed and have a lot of debt, so that's how I spend my time.""]",What do you do in your spare time?
"[' I like to watch movies, travel, go surfing, play video games.', ' I basically spend time with my family, go to festivals and such, concerts.', ' I like to watch movies, travel, go surfing, play video games.', ' I like to watch movies, travel, go surfing, play video games.', ' I like to watch movies, go surfing, play video games, listen to music, cook, and workout. ', ' I basically spend time with my family, go to festivals and such, concerts.', ' I like to watch movies, travel, go surfing, play video games.', ' I like to watch movies, travel, go surfing, play video games.', ' I spend time with family, go to festivals and such, to name a few. I also like to run into my family, my daughter and I,', ' I basically spend time with my family, read, and my pets.', ' I like to watch movies and do a little cooking.', ' I like to gamble, exercise, and travel!', ' I like to watch movies and travel,', ' I basically spend time with my family, read, and listen to music.', ' I like to watch movies, go out with my friends, have parties, cook, and...I also like to travel!', ' Well, nothing special... facebook or chatting.', ' I spend most of my time turking.', ' I like to watch movies and do movie night.', ' I like to watch movies, go to festivals, go places with friends, play sports.', ' I like to watch movies, go surfing, play video games, go to bars, listen to music, cook, workout, and do a few other things.']",What do you like to do in your free time?
"[' I love to watch movies and travel. ', ' I love to watch movies and travel. I also like to ski.', ' I love to watch movies and travel. :) What about you? I love to watch movies.', ' I love to watch movies and travel. I also love spending time with family and friends.', ' I love to watch movies and I like to gamble.', ' I love to watch movies.', ' I like to watch movies, go surfing, go out with my friends, have parties, cook, watch movies.', ' I like to gamble, exercise, and go out to bars most days. I also like to go out to coffee spots and speakeasies most days. ', ' I basically spend time with my family, go to festivals and such, I love eating vegetarian foods.', ' I love to watch movies and play video games.', ' I love to watch movies and do other stuff.', "" I'm a gamer too - like myself :) I like video games too, but not as much as I use to."", ' I love to watch movies.', ' I enjoy traveling, visiting family, eating food, having parties, and generally being kind to others.', ' I love to watch movies.', ' I like to watch movies, travel, go surfing, play video games.', "" I love to watch movies and travel. I'm a geophysicist so I also love to watch movies."", ' I like to watch a bunch of movies, go to bars occasionally, and travel. ', ' I like watching documentaries about great places and I like playing online especially on Xbox 360.', ' I love to watch movies and I cook.']",What do you enjoy doing in your free time?
"[' nothing much.', ' I am a consultant in a large medical organization group.', ""<|startoftext|>What do you do in your spare time? I'm working on something new--a Netflix binge-listening list--so I spend time with friends, make plans for the weekend, watch Netflix, and listen to music.<|endoftext"", "" I'm usually out in nature photographing something."", "" I'm a sports fan."", ' nothing boring, just hanging out with some friends.', ' nothing super boring, I would rather be busy than have to worry about the future.', "" I like to play video games but I don't enjoy blogging as much as I should."", ' I like to gamble, exercise, and go out to bars occasionally.', "" I'm a consultant in a large defense industry firm."", "" I'm a consultant in a large defense sector company."", ' nothing.. but I like to play a variety of club sports.', ' I like to play baseball and listen to music.', ' I... I like to watch movies.', "" I'm a consultant in a nonprofit associated with the National Endowments."", ' I like to gamble, exercise, and go out to bars sometimes.', "" I'm a consultant in a large accounting company."", "" I'm a consultant in a large medical organization."", ' nothing.. I adored watching you did.', ' Not much, just watching movies.']",What do you do in your spare time?
